#3.6mag;e_3.6mag;4.5mag;e_4.5mag;5.8mag;e_5.8mag;8.0mag;e_8.0mag;Pred
#mag;mag;mag;mag;mag;mag;mag;mag;
#------;------;------;------;------;------;------;------;-
10.32;0.003;10.17;0.003;10.07;0.005;10.03;0.008;2
11.62;0.003;11.6;0.004;11.55;0.016;11.56;0.035;2
13.38;0.007;13.28;0.011;13.27;0.05;13.78;0.155;2
12.52;0.005;12.52;0.006;12.4;0.03;12.41;0.053;2
13.71;0.009;13.66;0.013;13.6;0.069;13.67;0.148;2
13.23;0.007;13.17;0.008;12.99;0.042;13.16;0.081;2
11.28;0.003;11.37;0.004;11.32;0.011;11.22;0.027;2
13.5;0.015;13.36;0.029;13.39;0.075;13.43;0.11;2
8.64;0.002;8.54;0.002;8.4;0.002;8.36;0.002;2
13.39;0.007;13.4;0.01;13.41;0.052;13.01;0.09;2
12.93;0.006;12.87;0.008;12.89;0.038;12.7;0.058;2
10.58;0.002;10.65;0.003;10.59;0.007;10.56;0.012;2
7.75;0.002;7.83;0.002;7.63;0.002;7.63;0.002;2
13.83;0.009;13.8;0.014;13.99;0.088;13.56;0.117;2
11.68;0.004;11.87;0.004;11.61;0.012;11.61;0.032;2
13.37;0.007;13.31;0.01;13.32;0.055;13.21;0.089;2
12.49;0.005;12.52;0.006;12.44;0.026;12.41;0.053;2
10.78;0.003;10.79;0.003;10.74;0.007;10.57;0.014;2
12.87;0.005;12.85;0.007;12.81;0.033;12.74;0.065;2
16.18;0.047;15.12;0.035;14.37;0.141;13;0.079;2
11.44;0.004;11.45;0.004;11.3;0.011;11.27;0.024;2
13.19;0.007;13.21;0.009;13.16;0.048;13.2;0.091;2
11.96;0.004;11.89;0.004;11.9;0.016;11.96;0.038;2
13.1;0.006;13.17;0.01;13.02;0.038;13.3;0.094;2
13;0.006;13.01;0.009;12.84;0.035;13;0.078;2
11.97;0.003;11.87;0.004;11.86;0.02;11.79;0.042;2
14.11;0.011;14.07;0.015;13.83;0.074;13.96;0.15;2
11.73;0.003;11.73;0.004;11.64;0.014;11.59;0.032;2
13.4;0.007;13.37;0.01;13.33;0.048;13.64;0.14;2
13.79;0.008;13.74;0.012;13.65;0.072;13.38;0.112;2
12.09;0.004;12.12;0.006;12.09;0.019;12.07;0.035;2
13.43;0.007;13.44;0.01;13.41;0.055;13.32;0.095;2
14.05;0.009;13.92;0.015;13.96;0.063;13.65;0.131;2
12.14;0.004;12.08;0.005;12.04;0.023;12.03;0.046;2
12.44;0.005;12.49;0.006;12.42;0.028;12.5;0.057;2
13.7;0.009;13.75;0.012;13.56;0.079;13.78;0.16;2
13.36;0.007;13.41;0.011;13.35;0.054;13.28;0.09;2
14.05;0.009;14.03;0.016;14.16;0.105;13.76;0.145;2
10.45;0.002;10.44;0.003;10.42;0.006;10.42;0.015;2
13.88;0.008;13.89;0.013;13.88;0.083;13.43;0.119;2
8.06;0.002;8.12;0.002;8.05;0.002;7.94;0.002;2
12.51;0.007;12.47;0.006;12.44;0.026;12.43;0.048;2
13.41;0.007;13.41;0.01;13.4;0.047;13.21;0.093;2
13.62;0.008;13.59;0.012;13.61;0.071;13.91;0.175;2
12.75;0.005;12.8;0.007;12.77;0.036;12.76;0.066;2
9.01;0.003;9.08;0.002;8.97;0.003;8.93;0.004;2
9.53;0.002;9.64;0.003;9.5;0.004;9.47;0.006;2
11.82;0.003;11.75;0.004;11.66;0.014;11.57;0.034;2
13.13;0.007;13.11;0.008;13.16;0.053;13.32;0.121;2
13.95;0.01;13.82;0.013;13.86;0.073;14.23;0.2;2
13.52;0.007;13.57;0.011;13.68;0.062;13.51;0.101;2
13.3;0.007;13.33;0.01;13.29;0.067;13.27;0.087;2
13.78;0.011;13.72;0.011;13.87;0.086;13.97;0.166;2
13;0.006;13;0.007;12.96;0.041;13.14;0.079;2
12.55;0.005;12.57;0.006;12.44;0.03;12.51;0.055;2
12.96;0.006;12.95;0.009;12.87;0.058;12.92;0.093;2
12.31;0.005;12.42;0.007;12.26;0.035;12.37;0.054;2
14.55;0.014;14.53;0.021;14.56;0.123;14.33;0.186;2
13.63;0.008;13.56;0.01;13.53;0.064;13.6;0.099;2
15.91;0.057;15.11;0.057;14.27;0.163;13.01;0.093;2
12.7;0.006;12.63;0.007;12.54;0.025;12.65;0.05;2
13.94;0.009;13.93;0.013;13.8;0.067;13.63;0.109;2
13.41;0.009;13.5;0.012;13.28;0.074;13.56;0.147;2
12.78;0.005;12.72;0.006;12.71;0.026;12.64;0.046;2
13.54;0.009;13.46;0.011;13.47;0.076;13;0.074;2
13.45;0.007;13.33;0.009;13.34;0.041;13.35;0.091;2
12.67;0.008;12.65;0.007;12.59;0.032;12.68;0.054;2
11.84;0.003;11.85;0.004;11.74;0.018;11.61;0.041;2
12.03;0.004;11.98;0.005;11.97;0.017;12.14;0.044;2
12.62;0.005;12.56;0.006;12.43;0.028;12.59;0.062;2
13.32;0.008;13.35;0.01;13.18;0.062;13.16;0.087;2
