Index,x,y,f090w,e_f090w,f187n,e_f187n,f200w,e_f200w,f335m,e_f335m,f444w,e_f444w,f470n,e_f470n,f090w-f444w,e_f090w-f444w,f090w-f187n,e_f090w-f187n,δ_f090w-f187n,e_δ_f090w-f187n,f187n-f200w,e_f187n-f200w,δ_f187n-f200w,e_δ_f187n-f200w,f200w-f335m,e_f200w-f335m,δ_f200w-f335m,e_δ_f200w-f335m,f335m-f444w,e_f335m-f444w,δ_f335m-f444w,e_δ_f335m-f444w,f444w-f470n,e_f444w-f470n,δ_f444w-f470n,e_δ_f444w-f470n,(f090w-f200w)-(f200w-f444w),e_δ_(f090w-f200w)-(f200w-f444w),δ_(f090w-f200w)-(f200w-f444w),RA,DEC
1.0,30.903,5230.777,14.452034726688101,0.0656,9.402090909090912,0.0739,15.199521276595746,0.0264,,,,,,,,,5.049943817597189,0.09881583881139704,,0.09881583881139704,-5.797430367504834,0.07847400843591462,,0.07847400843591462,,,,,,,,,,,,,,,,159.2020208419149,-58.68247364982474
2.0,60.801,5265.322,13.1580347266881,0.0532,9.86209090909091,0.0312,15.559521276595746,0.0487,,,,,,,,,3.295943817597191,0.06167398154813746,,0.06167398154813746,-5.697430367504836,0.05783709882073962,,0.05783709882073962,,,,,,,,,,,,,,,,159.20269963225286,-58.68228933531866
3.0,69.387,6637.48,12.970034726688102,0.0827,9.218090909090911,0.0753,14.834521276595748,0.0456,,,,,,,,,3.7519438175971906,0.11184533964363469,,0.11184533964363469,-5.616430367504837,0.08803096046278265,,0.08803096046278265,,,,,,,,,,,,,,,,159.2251193292839,-58.684963476345956
4.0,87.868,4215.969,13.6200347266881,0.0535,10.134090909090911,0.0253,15.752521276595747,0.0804,11.15438947368421,0.0211,12.371625,0.0123,4.955285714285713,0.0177,1.2484097266881005,0.05489571932309476,3.485943817597189,0.05918057113614231,-0.07790414876214946,0.05918057113614231,-5.6184303675048355,0.08428671306914276,0.24724480480307331,0.08428671306914276,4.598131802911537,0.08312262026668793,-0.16298794062812227,0.08312262026668793,-1.2172355263157897,0.024423349483639625,-0.006352715412800247,0.024423349483639625,7.416339285714287,0.02155411793602327,0.03733704227907353,0.02155411793602327,-5.513382826503394,0.1262610787218294,0.33868131208184593,159.18568632857708,-58.67995649044365
5.0,92.844,7653.052,13.380034726688102,0.063,9.538090909090911,0.0324,15.228521276595746,0.042,,,,,,,,,3.8419438175971905,0.07084320715495594,,0.07084320715495594,-5.690430367504835,0.05304488665272083,,0.05304488665272083,,,,,,,,,,,,,,,,159.24178073907976,-58.686795133507424
6.0,101.253,165.739,12.421034726688099,0.1827,10.102090909090911,0.0273,15.941521276595747,0.03,11.039389473684212,0.0709,12.463625000000002,0.0467,,,-0.04259027331190346,0.18857407032781573,2.3189438175971873,0.18472839521849369,-0.2614357711992783,0.18472839521849369,-5.839430367504836,0.040562174497923556,0.10773254733978366,0.040562174497923556,4.902131802911535,0.07698577790735117,0.34656633507026235,0.07698577790735117,-1.4242355263157904,0.08489817430310266,-0.19286311121076705,0.08489817430310266,,,,,-6.998382826503393,0.19328781648101878,-0.30740644771899106,159.11968799296574,-58.67170343068346
7.0,108.875,7648.577,13.645034726688099,0.0843,9.742090909090912,0.0211,15.466521276595746,0.0444,,,,,,,,,3.902943817597187,0.0869005178350509,,0.0869005178350509,-5.724430367504834,0.04915862081059639,,0.04915862081059639,,,,,,,,,,,,,,,,159.2417693581247,-58.686650236380196
8.0,109.359,7960.034,13.4830347266881,0.0372,10.10409090909091,0.0269,15.957521276595745,0.0392,,,,,,,,,3.3789438175971895,0.04590697114818183,,0.04590697114818183,-5.853430367504835,0.04754208661806926,,0.04754208661806926,,,,,,,,,,,,,,,,159.2468536383159,-58.687268445927565
9.0,114.623,4169.121,13.9570347266881,0.0394,10.192090909090911,0.0295,15.988521276595748,0.0692,11.214389473684212,0.0196,12.325625,0.0155,5.004285714285713,0.0179,1.6314097266880996,0.04233922531176025,3.7649438175971888,0.049220016253552774,-0.09066897339931312,0.049220016253552774,-5.796430367504836,0.07522559404883421,0.045069897450972896,0.07522559404883421,4.774131802911535,0.07192218016717791,-0.047969573155220324,0.07192218016717791,-1.111235526315788,0.024988197213884795,0.09356864910356166,0.024988197213884795,7.321339285714288,0.023678260071213,-0.05111832866413479,0.023678260071213,-5.694382826503395,0.10662968629795362,-0.09119815189668135,159.18502539264736,-58.67963567893091
10.0,122.829,1112.332,15.462034726688099,0.06,11.07809090909091,0.0348,16.723521276595747,0.0255,11.889389473684213,0.0141,12.989625000000002,0.0122,5.680285714285715,0.0159,2.472409726688097,0.06122777147667551,4.3839438175971885,0.06936166087976844,-0.11233272671486016,0.06936166087976844,-5.6454303675048365,0.04314267029287826,0.1429860930564164,0.04314267029287826,4.834131802911534,0.029138634147811388,-0.12187441115858544,0.029138634147811388,-1.1002355263157888,0.018645374761586318,0.09122104481703075,0.018645374761586318,7.309339285714287,0.02004120754844877,-0.048747485226116716,0.02004120754844877,-4.995382826503393,0.07105870812222806,0.06130673268311071,159.1352054830901,-58.67342587297753
11.0,124.96,1118.293,13.866034726688099,0.0504,9.747090909090911,0.031,15.545521276595746,0.043,10.742389473684211,0.0404,11.883625,0.0225,4.380285714285714,0.0436,1.9824097266880987,0.05519429318326307,4.118943817597188,0.059170600808171624,-0.004056580312223446,0.059170600808171624,-5.798430367504835,0.05300943312279428,0.020914825700095285,0.05300943312279428,4.803131802911535,0.0590013559166228,-0.0748561345573382,0.0590013559166228,-1.1412355263157892,0.04624294540792141,0.05799788916946769,0.04624294540792141,7.503339285714286,0.04906332642616071,0.1368794906542279,0.04906332642616071,-5.341382826503393,0.08212435692290077,0.0337164907757419,159.13531092686742,-58.67341980006573
12.0,126.312,5523.782,15.6110347266881,0.0929,10.54909090909091,0.0204,16.328521276595747,0.0444,11.37538947368421,0.016,12.564625000000001,0.0095,5.168285714285714,0.011,3.0464097266880987,0.09338447408429305,5.061943817597189,0.0951134585639698,0.12840093035633426,0.0951134585639698,-5.779430367504837,0.0488622553716056,-0.027244708040464083,0.0488622553716056,4.953131802911537,0.04719491498032389,-0.09426724946289955,0.04719491498032389,-1.189235526315791,0.018607794065928395,-0.0068889728529695216,0.018607794065928395,7.396339285714287,0.014534441853748633,0.04806091445690619,0.014534441853748633,-4.481382826503394,0.11253168442709813,0.20231244463173947,159.20716854076716,-58.68225153655519
13.0,127.664,3066.676,12.9390347266881,0.0766,9.65609090909091,0.0217,15.424521276595748,0.0392,,,,,,,,,3.2829438175971895,0.07961438312264939,,0.07961438312264939,-5.768430367504838,0.044805468416254726,,0.044805468416254726,,,,,,,,,,,,,,,,159.1670945041127,-58.677312826200954
14.0,130.655,4424.037,13.133034726688098,0.0903,10.09209090909091,0.023,15.951521276595745,0.0474,11.254389473684212,0.0148,12.497625000000001,0.0152,5.107285714285714,0.0191,0.6354097266880974,0.09157035546507396,3.0409438175971886,0.0931830993260044,-0.055928071731907725,0.0931830993260044,-5.859430367504835,0.05268548187119484,0.04493728053893964,0.05268548187119484,4.697131802911533,0.049656822290597695,0.033614515609760254,0.049656822290597695,-1.2432355263157895,0.021215088969881793,-0.022623724416791502,0.021215088969881793,7.390339285714287,0.02441003891844501,0.0008622182273425594,0.02441003891844501,-6.2723828265033905,0.11348413986103961,-0.02198158238593706,159.18924532377866,-58.68001092641002
15.0,138.654,3430.372,15.6950347266881,0.0834,11.811090909090911,0.0291,17.480521276595745,0.0489,,,,,,,,,3.8839438175971885,0.08833102512707526,,0.08833102512707526,-5.669430367504834,0.05690360269789602,,0.05690360269789602,,,,,,,,,,,,,,,,159.17306867217047,-58.67794975190645
