,x,y,f090w,e_f090w,f187n,e_f187n,f200w,e_f200w,f335m,e_f335m,f444w,e_f444w,f470n,e_f470n,f090w-f444w,e_f090w-f444w,f090w-f187n,e_f090w-f187n,δ_f090w-f187n,e_δ_f090w-f187n,f187n-f200w,e_f187n-f200w,δ_f187n-f200w,e_δ_f187n-f200w,f200w-f335m,e_f200w-f335m,δ_f200w-f335m,e_δ_f200w-f335m,f335m-f444w,e_f335m-f444w,δ_f335m-f444w,e_δ_f335m-f444w,f444w-f470n,e_f444w-f470n,δ_f444w-f470n,e_δ_f444w-f470n,(f090w-f200w)-(f200w-f444w),e_δ_(f090w-f200w)-(f200w-f444w),δ_(f090w-f200w)-(f200w-f444w),RA,DEC,yso_candidate,p1
0,5371.345,4103.498,12.583034726688101,0.1855,8.044090909090912,0.1667,14.657521276595748,0.1254,10.302389473684213,0.0455,12.344624999999999,0.0275,5.127285714285714,0.0364,0.23840972668810245,0.1875273313413274,4.53894381759719,0.2493975541179183,1.7445017856596148,0.2493975541179183,-6.6134303675048365,0.2086002157237619,-0.6840041340334286,0.2086002157237619,4.355131802911535,0.1333994377799247,-0.24517475824596424,0.1333994377799247,-2.0422355263157854,0.053164838004079354,-0.815322893380221,0.053164838004079354,7.217339285714285,0.045620280577830734,-0.1789216400900111,0.045620280577830734,-4.387382826503396,0.25810234404204857,2.1209953032523696,159.20421178570217,-58.634930753226236,True,0.65
1,6827.287,4652.729,17.1310347266881,0.0333,12.06809090909091,0.0953,,,13.13438947368421,0.1616,,,9.232285714285714,0.0193,,,5.062943817597189,0.10095038385266299,,0.10095038385266299,,,,,,,,,,,,,,,,,,,,159.21875827369246,-58.62368431141334,True,0.6
2,5972.287,5057.934,16.7180347266881,0.0909,12.48009090909091,0.1704,,,,,,,11.031285714285714,0.0194,,,4.2379438175971895,0.19312941257094943,,0.19312941257094943,,,,,,,,,,,,,,,,,,,,159.22207222808177,-58.63174564159488,True,0.78
3,8629.324,4593.217,12.9400347266881,0.3293,,,,,,,16.030625,0.1638,8.924285714285714,0.2014,-3.0905902733119,0.367789246716105,,,,,,,,,,,,,,,,,7.106339285714286,0.25960046224920325,-0.34680694069068085,0.25960046224920325,,,,159.22471306481782,-58.60828372978126,True,0.56
4,7873.049,5465.415,15.8530347266881,0.0888,12.70309090909091,0.0331,16.510521276595746,0.2198,14.356389473684212,0.0442,,,9.180285714285713,0.0155,,,3.1499438175971903,0.09476840190696476,,0.09476840190696476,-3.8074303675048355,0.2222783165313252,,0.2222783165313252,2.154131802911534,0.22420008920604825,,0.22420008920604825,,,,,,,,,,,,159.2360107897856,-58.616441490861334,True,0.69
5,8567.649,5411.866,13.077034726688101,0.0698,9.37409090909091,0.0338,15.309521276595746,0.04,10.62538947368421,0.0358,11.809625000000002,0.0203,4.446285714285713,0.0389,1.2674097266880988,0.07269202157045847,3.702943817597191,0.07755307859782228,0.12462187821407822,0.07755307859782228,-5.935430367504836,0.05236831102871277,-0.07095447258515097,0.05236831102871277,4.684131802911535,0.053680909083211326,-0.08001313910857988,0.053680909083211326,-1.184235526315792,0.04115495109947283,0.026345733479653966,0.04115495109947283,7.363339285714289,0.0438782406210641,-0.015338289438733277,0.0438782406210641,-5.732382826503388,0.0921093372031305,0.10733481125785271,159.23780490044254,-58.61044383566673,True,0.77
6,9214.985,5605.439,15.055034726688099,0.0601,11.686090909090911,0.0412,17.883521276595747,0.0262,,,,,9.406285714285714,0.0183,,,3.368943817597188,0.0728659728542754,,0.0728659728542754,-6.197430367504836,0.04882499359958996,,0.04882499359958996,,,,,,,,,,,,,,,,159.24344016234184,-58.605340845103136,True,0.81
7,10945.73,5370.297,17.1400347266881,0.0505,11.75109090909091,0.0787,16.759521276595745,0.2084,,,,,9.477285714285713,0.0191,,,5.388943817597189,0.09350903699643154,,0.09350903699643154,-5.008430367504834,0.22276501071757207,,0.22276501071757207,,,,,,,,,,,,,,,,159.2462496318414,-58.59019290292596,True,0.68
8,10923.95,5562.961,14.8730347266881,0.0616,9.48709090909091,0.1001,16.379521276595746,0.04,11.197389473684213,0.0214,12.633625,0.0094,5.228285714285713,0.0183,2.2394097266881,0.06231308048877057,5.385943817597191,0.11753539892304786,1.0671638898398639,0.11753539892304786,-6.892430367504836,0.10779615020955062,-1.0893069789722025,0.10779615020955062,5.182131802911533,0.04536474401999861,0.2632240754701698,0.04536474401999861,-1.4362355263157873,0.023373489255992565,-0.24108098633782915,0.023373489255992565,7.4053392857142875,0.020573040611440985,0.043271056365965954,0.020573040611440985,-5.252382826503391,0.08416008555128732,-0.044286178264679066,159.24930144239997,-58.59076249080617,True,0.76
9,5299.906,7038.467,17.023034726688103,0.2095,12.359090909090911,0.1374,,,13.781389473684213,0.0511,15.489625,0.0216,8.203285714285714,0.0161,1.5334097266881024,0.21061056478723947,4.6639438175971915,0.2505374423115236,0.8829862558812152,0.2505374423115236,,,,,,,,,-1.7082355263157876,0.055477653158726895,-0.5018759820259504,0.055477653158726895,7.286339285714286,0.02694011878221772,-0.0877929334880676,0.02694011878221772,,,,159.25176102015118,-58.64140693418816,True,0.53
