RA,December,Catalog,OGClass,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8],e_[8],[24],e_[24],Target,Predict ,CIProb ,CIIProb,OtherProb
100.7930000,8.7531472,0,III/F  ,10.320,0.003,10.170,0.003,10.070,0.005,10.030,0.008,,,6,2,0.000000,0.000057,0.999943
100.6776250,8.7556250,0,III/F  ,11.620,0.003,11.600,0.004,11.550,0.016,11.560,0.035,      ,      ,6,2,0.000000,0.000000,1.000000
100.7609583,8.7566528,0,III/F  ,13.380,0.007,13.280,0.011,13.270,0.050,13.780,0.155,      ,      ,6,2,0.000000,0.000000,1.000000
100.7578750,8.7589389,0,III/F  ,12.520,0.005,12.520,0.006,12.400,0.030,12.410,0.053,      ,      ,6,2,0.000000,0.000000,1.000000
100.7245000,8.7606944,0,III/F  ,13.710,0.009,13.660,0.013,13.600,0.069,13.670,0.148,      ,      ,6,2,0.000000,0.000000,1.000000
100.7289167,8.7609722,0,III/F  ,13.230,0.007,13.170,0.008,12.990,0.042,13.160,0.081,      ,      ,6,2,0.000000,0.000000,1.000000
100.7449583,8.7630750,0,III/F  ,11.280,0.003,11.370,0.004,11.320,0.011,11.220,0.027,      ,      ,6,2,0.000000,0.000000,1.000000
100.6671667,8.7653722,0,III/F  ,13.500,0.015,13.360,0.029,13.390,0.075,13.430,0.110,      ,      ,6,2,0.000002,0.000135,0.999863
100.6702500,8.7691222,0,III/F  ,8.640,0.002,8.540,0.002,8.400,0.002,8.360,0.002,8.290,0.043,6,2,0.000000,0.000587,0.999413
100.7920833,8.7692694,0,III/F  ,13.390,0.007,13.400,0.010,13.410,0.052,13.010,0.090,      ,      ,6,2,0.000000,0.000046,0.999953
100.7692917,8.7704556,0,III/F  ,12.930,0.006,12.870,0.008,12.890,0.038,12.700,0.058,      ,      ,6,2,0.000000,0.000003,0.999997
100.7577083,8.7710500,0,III/F  ,10.580,0.002,10.650,0.003,10.590,0.007,10.560,0.012,      ,      ,6,2,0.000000,0.000000,1.000000
100.8112500,8.7714556,0,III/F  ,7.750,0.002,7.830,0.002,7.630,0.002,7.630,0.002,      ,      ,6,2,0.000000,0.008249,0.991751
100.7682083,8.7728194,0,III/F  ,13.830,0.009,13.800,0.014,13.990,0.088,13.560,0.117,      ,      ,6,2,0.000000,0.000000,1.000000
