,3.6,d_3.6,4.5,d_4.5,5.8,d_5.8,8,d_8,24,d_24,target,pred,P(CI),P(CII),P(Other)
0,10.32,0.003,10.17,0.003,10.07,0.005,10.03,0.008,-99,-99,6,2,0.0,5.7e-05,0.999943
1,11.62,0.003,11.6,0.004,11.55,0.016,11.56,0.035,-99,-99,6,2,0.0,0.0,1.0
2,13.38,0.007,13.28,0.011,13.27,0.05,13.78,0.155,-99,-99,6,2,0.0,0.0,1.0
3,12.52,0.005,12.52,0.006,12.4,0.03,12.41,0.053,-99,-99,6,2,0.0,0.0,1.0
4,13.71,0.009,13.66,0.013,13.6,0.069,13.67,0.148,-99,-99,6,2,0.0,0.0,1.0
5,13.23,0.007,13.17,0.008,12.99,0.042,13.16,0.081,-99,-99,6,2,0.0,0.0,1.0
6,11.28,0.003,11.37,0.004,11.32,0.011,11.22,0.027,-99,-99,6,2,0.0,0.0,1.0
7,13.5,0.015,13.36,0.029,13.39,0.075,13.43,0.11,-99,-99,6,2,2e-06,0.000135,0.999863
8,8.64,0.002,8.54,0.002,8.4,0.002,8.36,0.002,8.290,0.043,6,2,0.0,0.000587,0.999413
9,13.39,0.007,13.4,0.01,13.41,0.052,13.01,0.09,-99,-99,6,2,0.0,4.6e-05,0.999953
10,12.93,0.006,12.87,0.008,12.89,0.038,12.7,0.058,-99,-99,6,2,0.0,3e-06,0.999997
11,10.58,0.002,10.65,0.003,10.59,0.007,10.56,0.012,-99,-99,6,2,0.0,0.0,1.0
12,7.75,0.002,7.83,0.002,7.63,0.002,7.63,0.002,-99,-99,6,2,0.0,0.008249,0.991751
13,13.83,0.009,13.8,0.014,13.99,0.088,13.56,0.117,-99,-99,6,2,0.0,0.0,1.0
14,11.68,0.004,11.87,0.004,11.61,0.012,11.61,0.032,-99,-99,6,2,0.0,0.0,1.0
15,13.37,0.007,13.31,0.01,13.32,0.055,13.21,0.089,-99,-99,6,2,0.0,1e-06,0.999999
16,12.49,0.005,12.52,0.006,12.44,0.026,12.41,0.053,-99,-99,6,2,0.0,0.0,1.0
17,10.78,0.003,10.79,0.003,10.74,0.007,10.57,0.014,-99,-99,6,2,0.0,3e-06,0.999997
18,12.87,0.005,12.85,0.007,12.81,0.033,12.74,0.065,-99,-99,6,2,0.0,0.0,1.0
19,16.18,0.047,15.12,0.035,14.37,0.141,13.0,0.079,-99,-99,3,2,4.9e-05,2e-06,0.999949
20,11.44,0.004,11.45,0.004,11.3,0.011,11.27,0.024,-99,-99,6,2,0.0,0.0,1.0
21,13.19,0.007,13.21,0.009,13.16,0.048,13.2,0.091,-99,-99,6,2,0.0,0.0,1.0
22,11.96,0.004,11.89,0.004,11.9,0.016,11.96,0.038,-99,-99,6,2,0.0,0.0,1.0
23,13.1,0.006,13.17,0.01,13.02,0.038,13.3,0.094,-99,-99,6,2,0.0,0.0,1.0
24,13.0,0.006,13.01,0.009,12.84,0.035,13.0,0.078,-99,-99,6,2,0.0,0.0,1.0
25,11.97,0.003,11.87,0.004,11.86,0.02,11.79,0.042,-99,-99,6,2,0.0,0.0,1.0
26,14.11,0.011,14.07,0.015,13.83,0.074,13.96,0.15,-99,-99,6,2,0.0,0.0,1.0
27,11.73,0.003,11.73,0.004,11.64,0.014,11.59,0.032,-99,-99,6,2,0.0,0.0,1.0
28,13.4,0.007,13.37,0.01,13.33,0.048,13.64,0.14,-99,-99,6,2,0.0,0.0,1.0
29,13.79,0.008,13.74,0.012,13.65,0.072,13.38,0.112,-99,-99,6,2,0.0,4.6e-05,0.999953
30,12.09,0.004,12.12,0.006,12.09,0.019,12.07,0.035,-99,-99,6,2,0.0,0.0,1.0
31,13.43,0.007,13.44,0.01,13.41,0.055,13.32,0.095,-99,-99,6,2,0.0,0.0,1.0
32,14.05,0.009,13.92,0.015,13.96,0.063,13.65,0.131,-99,-99,6,2,0.0,4.7e-05,0.999953
33,12.14,0.004,12.08,0.005,12.04,0.023,12.03,0.046,-99,-99,6,2,0.0,0.0,1.0
34,12.44,0.005,12.49,0.006,12.42,0.028,12.5,0.057,-99,-99,6,2,0.0,0.0,1.0
35,13.7,0.009,13.75,0.012,13.56,0.079,13.78,0.16,-99,-99,6,2,0.0,0.0,1.0
36,13.36,0.007,13.41,0.011,13.35,0.054,13.28,0.09,-99,-99,6,2,0.0,0.0,1.0
37,14.05,0.009,14.03,0.016,14.16,0.105,13.76,0.145,-99,-99,6,2,0.0,0.0,1.0
38,10.45,0.002,10.44,0.003,10.42,0.006,10.42,0.015,-99,-99,6,2,0.0,0.0,1.0
39,13.88,0.008,13.89,0.013,13.88,0.083,13.43,0.119,-99,-99,6,2,0.0,2.1e-05,0.999979
40,8.06,0.002,8.12,0.002,8.05,0.002,7.94,0.002,8.110,0.035,6,2,0.0,0.000356,0.999644
41,12.51,0.007,12.47,0.006,12.44,0.026,12.43,0.048,-99,-99,6,2,0.0,0.0,1.0
42,13.41,0.007,13.41,0.01,13.4,0.047,13.21,0.093,-99,-99,6,2,0.0,2e-06,0.999998
43,13.62,0.008,13.59,0.012,13.61,0.071,13.91,0.175,-99,-99,6,2,0.0,0.0,1.0
44,12.75,0.005,12.8,0.007,12.77,0.036,12.76,0.066,-99,-99,6,2,0.0,0.0,1.0
45,9.01,0.003,9.08,0.002,8.97,0.003,8.93,0.004,-99,-99,6,2,0.0,0.000197,0.999803
46,9.53,0.002,9.64,0.003,9.5,0.004,9.47,0.006,9.650,0.139,6,2,6e-06,0.003705,0.996289
47,11.82,0.003,11.75,0.004,11.66,0.014,11.57,0.034,-99,-99,6,2,0.0,0.0,0.999999
48,13.13,0.007,13.11,0.008,13.16,0.053,13.32,0.121,-99,-99,6,2,0.0,0.0,1.0
49,13.95,0.01,13.82,0.013,13.86,0.073,14.23,0.2,-99,-99,6,2,0.0,0.0,1.0
50,13.52,0.007,13.57,0.011,13.68,0.062,13.51,0.101,-99,-99,6,2,0.0,0.0,1.0
