#,,,,,,,,,,,,,,
#   VizieR Astronomical Server vizier.cds.unistra.fr,,,,,,,,,,,,,,
#RESOURCE=yCat_36470116,,,,,,,,,,,,,,
#Name: J/A+A/647/A116,,,,,,,,,,,,,,
"#Title: YSO candidate catalog from ANN (Cornu+, 2021)",,,,,,,,,,,,,,
#Table	J_A_A_647_A116_catalog:,,,,,,,,,,,,,,
#Name: J/A+A/647/A116/catalog,,,,,,,,,,,,,,
#Title: Object classification including YSO candidates,,,,,,,,,,,,,,
#Column	3.6mag	(F6.3)	Spitzer/IRAC 3.6 micron band magnitude	[ucd=phot.mag,em.IR.3-4um],,,,,,,,,,,,,
#Column	e_3.6mag	(F6.3)	Uncertainty in 3.6mag	[ucd=stat.error],,,,,,,,,,,,,,
#Column	4.5mag	(F6.3)	Spitzer/IRAC 4.5 micron band magnitude	[ucd=phot.mag,em.IR.4-8um],,,,,,,,,,,,,
#Column	e_4.5mag	(F6.3)	Uncertainty in 4.5mag	[ucd=stat.error],,,,,,,,,,,,,,
#Column	5.8mag	(F6.3)	Spitzer/IRAC 5.8 micron band magnitude	[ucd=phot.flux.density,em.IR.4-8um],,,,,,,,,,,,,
#Column	e_5.8mag	(F6.3)	Uncertainty in 5.8mag	[ucd=stat.error],,,,,,,,,,,,,,
#Column	8.0mag	(F6.3)	Spitzer/IRAC 8 micron band magnitude	[ucd=phot.flux.density,em.IR.8-15um],,,,,,,,,,,,,
#Column	e_8.0mag	(F6.3)	Uncertainty in 8.0mag	[ucd=stat.error],,,,,,,,,,,,,,
#Column	24mag	(F6.3)	? Spitzer/MIPS 24 micron band magnitude	[ucd=phot.flux.density,em.IR.15-30um],,,,,,,,,,,,,
#Column	e_24mag	(F6.3)	? Uncertainty in 24mag	[ucd=stat.error],,,,,,,,,,,,,,
#Column	Target	(I1)	[0/6] The target subclass from the Gutermuth et al. (2009ApJS..184...18G) method (3)	[ucd=meta.note],,,,,,,,,,,,,,
#Column	Pred	(I1)	[0/2] Network class prediction (4)	[ucd=meta.code.class],,,,,,,,,,,,,,
#Column	P(CI)	(F9.6)	[0/1] CI YSO predicted membership probability (5)	[ucd=stat.probability],,,,,,,,,,,,,,
#Column	P(CII)	(F9.6)	[0/1] CII YSO predicted membership probability(5)	[ucd=stat.probability],,,,,,,,,,,,,,
#Column	P(Other)	(F9.6)	[0/1] Other predicted membership probability (5)	[ucd=stat.probability],,,,,,,,,,,,,,
#3.6mag,e_3.6mag,4.5mag,e_4.5mag,5.8mag,e_5.8mag,8.0mag,e_8.0mag,24mag,e_24mag,Target,Pred,P(CI),P(CII),P(Other)
#mag,mag,mag,mag,mag,mag,mag,mag,mag,mag, , , , ,
#———,------,------,------,------,------,------,------,------,------,-,-,---------,---------,---------
10.320,0.003,10.170,0.003,10.070,0.005,10.030,0.008,      ,      ,6,2,0.000000,0.000057,0.999943
11.620,0.003,11.600,0.004,11.550,0.016,11.560,0.035,      ,      ,6,2,0.000000,0.000000,1.000000
13.380,0.007,13.280,0.011,13.270,0.050,13.780,0.155,      ,      ,6,2,0.000000,0.000000,1.000000
12.520,0.005,12.520,0.006,12.400,0.030,12.410,0.053,      ,      ,6,2,0.000000,0.000000,1.000000
13.710,0.009,13.660,0.013,13.600,0.069,13.670,0.148,      ,      ,6,2,0.000000,0.000000,1.000000
13.230,0.007,13.170,0.008,12.990,0.042,13.160,0.081,      ,      ,6,2,0.000000,0.000000,1.000000
11.280,0.003,11.370,0.004,11.320,0.011,11.220,0.027,      ,      ,6,2,0.000000,0.000000,1.000000
13.500,0.015,13.360,0.029,13.390,0.075,13.430,0.110,      ,      ,6,2,0.000002,0.000135,0.999863
8.640,0.002,8.540,0.002,8.400,0.002,8.360,0.002,8.290,0.043,6,2,0.000000,0.000587,0.999413
13.390,0.007,13.400,0.010,13.410,0.052,13.010,0.090,      ,      ,6,2,0.000000,0.000046,0.999953
12.930,0.006,12.870,0.008,12.890,0.038,12.700,0.058,      ,      ,6,2,0.000000,0.000003,0.999997
10.580,0.002,10.650,0.003,10.590,0.007,10.560,0.012,      ,      ,6,2,0.000000,0.000000,1.000000
7.750,0.002,7.830,0.002,7.630,0.002,7.630,0.002,      ,      ,6,2,0.000000,0.008249,0.991751
13.830,0.009,13.800,0.014,13.990,0.088,13.560,0.117,      ,      ,6,2,0.000000,0.000000,1.000000
11.680,0.004,11.870,0.004,11.610,0.012,11.610,0.032,      ,      ,6,2,0.000000,0.000000,1.000000
13.370,0.007,13.310,0.010,13.320,0.055,13.210,0.089,      ,      ,6,2,0.000000,0.000001,0.999999
12.490,0.005,12.520,0.006,12.440,0.026,12.410,0.053,      ,      ,6,2,0.000000,0.000000,1.000000
10.780,0.003,10.790,0.003,10.740,0.007,10.570,0.014,      ,      ,6,2,0.000000,0.000003,0.999997
12.870,0.005,12.850,0.007,12.810,0.033,12.740,0.065,      ,      ,6,2,0.000000,0.000000,1.000000
16.180,0.047,15.120,0.035,14.370,0.141,13.000,0.079,      ,      ,3,2,0.000049,0.000002,0.999949
11.440,0.004,11.450,0.004,11.300,0.011,11.270,0.024,      ,      ,6,2,0.000000,0.000000,1.000000
13.190,0.007,13.210,0.009,13.160,0.048,13.200,0.091,      ,      ,6,2,0.000000,0.000000,1.000000
11.960,0.004,11.890,0.004,11.900,0.016,11.960,0.038,      ,      ,6,2,0.000000,0.000000,1.000000
13.100,0.006,13.170,0.010,13.020,0.038,13.300,0.094,      ,      ,6,2,0.000000,0.000000,1.000000
13.000,0.006,13.010,0.009,12.840,0.035,13.000,0.078,      ,      ,6,2,0.000000,0.000000,1.000000
11.970,0.003,11.870,0.004,11.860,0.020,11.790,0.042,      ,      ,6,2,0.000000,0.000000,1.000000
14.110,0.011,14.070,0.015,13.830,0.074,13.960,0.150,      ,      ,6,2,0.000000,0.000000,1.000000
11.730,0.003,11.730,0.004,11.640,0.014,11.590,0.032,      ,      ,6,2,0.000000,0.000000,1.000000
13.400,0.007,13.370,0.010,13.330,0.048,13.640,0.140,      ,      ,6,2,0.000000,0.000000,1.000000
13.790,0.008,13.740,0.012,13.650,0.072,13.380,0.112,      ,      ,6,2,0.000000,0.000046,0.999953
12.090,0.004,12.120,0.006,12.090,0.019,12.070,0.035,      ,      ,6,2,0.000000,0.000000,1.000000
13.430,0.007,13.440,0.010,13.410,0.055,13.320,0.095,      ,      ,6,2,0.000000,0.000000,1.000000
14.050,0.009,13.920,0.015,13.960,0.063,13.650,0.131,      ,      ,6,2,0.000000,0.000047,0.999953
12.140,0.004,12.080,0.005,12.040,0.023,12.030,0.046,      ,      ,6,2,0.000000,0.000000,1.000000
12.440,0.005,12.490,0.006,12.420,0.028,12.500,0.057,      ,      ,6,2,0.000000,0.000000,1.000000
13.700,0.009,13.750,0.012,13.560,0.079,13.780,0.160,      ,      ,6,2,0.000000,0.000000,1.000000
13.360,0.007,13.410,0.011,13.350,0.054,13.280,0.090,      ,      ,6,2,0.000000,0.000000,1.000000
14.050,0.009,14.030,0.016,14.160,0.105,13.760,0.145,      ,      ,6,2,0.000000,0.000000,1.000000
10.450,0.002,10.440,0.003,10.420,0.006,10.420,0.015,      ,      ,6,2,0.000000,0.000000,1.000000
13.880,0.008,13.890,0.013,13.880,0.083,13.430,0.119,      ,      ,6,2,0.000000,0.000021,0.999979
8.060,0.002,8.120,0.002,8.050,0.002,7.940,0.002,8.110,0.035,6,2,0.000000,0.000356,0.999644
12.510,0.007,12.470,0.006,12.440,0.026,12.430,0.048,      ,      ,6,2,0.000000,0.000000,1.000000
13.410,0.007,13.410,0.010,13.400,0.047,13.210,0.093,      ,      ,6,2,0.000000,0.000002,0.999998
13.620,0.008,13.590,0.012,13.610,0.071,13.910,0.175,      ,      ,6,2,0.000000,0.000000,1.000000
12.750,0.005,12.800,0.007,12.770,0.036,12.760,0.066,      ,      ,6,2,0.000000,0.000000,1.000000
9.010,0.003,9.080,0.002,8.970,0.003,8.930,0.004,      ,      ,6,2,0.000000,0.000197,0.999803
9.530,0.002,9.640,0.003,9.500,0.004,9.470,0.006,9.650,0.139,6,2,0.000006,0.003705,0.996289
11.820,0.003,11.750,0.004,11.660,0.014,11.570,0.034,      ,      ,6,2,0.000000,0.000000,0.999999
13.130,0.007,13.110,0.008,13.160,0.053,13.320,0.121,      ,      ,6,2,0.000000,0.000000,1.000000
13.950,0.010,13.820,0.013,13.860,0.073,14.230,0.200,      ,      ,6,2,0.000000,0.000000,1.000000
13.520,0.007,13.570,0.011,13.680,0.062,13.510,0.101,      ,      ,6,2,0.000000,0.000000,1.000000
13.300,0.007,13.330,0.010,13.290,0.067,13.270,0.087,      ,      ,6,2,0.000000,0.000000,1.000000
13.780,0.011,13.720,0.011,13.870,0.086,13.970,0.166,      ,      ,6,2,0.000000,0.000000,1.000000
13.000,0.006,13.000,0.007,12.960,0.041,13.140,0.079,      ,      ,6,2,0.000000,0.000000,1.000000
12.550,0.005,12.570,0.006,12.440,0.030,12.510,0.055,      ,      ,6,2,0.000000,0.000000,1.000000
12.960,0.006,12.950,0.009,12.870,0.058,12.920,0.093,      ,      ,6,2,0.000000,0.000000,1.000000
12.310,0.005,12.420,0.007,12.260,0.035,12.370,0.054,      ,      ,6,2,0.000000,0.000000,1.000000
14.550,0.014,14.530,0.021,14.560,0.123,14.330,0.186,      ,      ,6,2,0.000000,0.000000,1.000000
13.630,0.008,13.560,0.010,13.530,0.064,13.600,0.099,      ,      ,6,2,0.000000,0.000000,1.000000
15.910,0.057,15.110,0.057,14.270,0.163,13.010,0.093,10.370,0.269,3,2,0.000002,0.000000,0.999998
12.700,0.006,12.630,0.007,12.540,0.025,12.650,0.050,      ,      ,6,2,0.000000,0.000000,1.000000
13.940,0.009,13.930,0.013,13.800,0.067,13.630,0.109,      ,      ,6,2,0.000000,0.000008,0.999992
13.410,0.009,13.500,0.012,13.280,0.074,13.560,0.147,      ,      ,6,2,0.000000,0.000000,1.000000
12.780,0.005,12.720,0.006,12.710,0.026,12.640,0.046,      ,      ,6,2,0.000000,0.000000,1.000000
13.540,0.009,13.460,0.011,13.470,0.076,13.000,0.074,      ,      ,6,2,0.000004,0.000430,0.999566
13.450,0.007,13.330,0.009,13.340,0.041,13.350,0.091,      ,      ,6,2,0.000000,0.000001,1.000000
12.670,0.008,12.650,0.007,12.590,0.032,12.680,0.054,      ,      ,6,2,0.000000,0.000000,1.000000
11.840,0.003,11.850,0.004,11.740,0.018,11.610,0.041,      ,      ,6,2,0.000000,0.000000,1.000000
12.030,0.004,11.980,0.005,11.970,0.017,12.140,0.044,      ,      ,6,2,0.000000,0.000000,1.000000
12.620,0.005,12.560,0.006,12.430,0.028,12.590,0.062,      ,      ,6,2,0.000000,0.000000,1.000000
13.320,0.008,13.350,0.010,13.180,0.062,13.160,0.087,      ,      ,6,2,0.000000,0.000000,1.000000
13.110,0.007,12.930,0.008,12.990,0.050,12.690,0.061,      ,      ,6,2,0.000004,0.000100,0.999896
12.410,0.005,12.360,0.005,12.210,0.033,12.350,0.054,      ,      ,6,2,0.000000,0.000000,1.000000
13.140,0.007,13.110,0.009,13.140,0.045,12.910,0.071,      ,      ,6,2,0.000000,0.000003,0.999997
11.060,0.002,11.070,0.003,10.950,0.009,10.960,0.018,      ,      ,6,2,0.000000,0.000000,1.000000
11.050,0.003,11.060,0.003,10.950,0.008,10.930,0.017,      ,      ,6,2,0.000000,0.000000,1.000000
9.520,0.002,9.550,0.003,9.440,0.003,9.400,0.005,9.590,0.139,6,2,0.000012,0.007080,0.992908
12.780,0.005,12.760,0.007,12.690,0.041,12.560,0.071,      ,      ,6,2,0.000000,0.000001,0.999999
13.020,0.005,13.140,0.009,12.920,0.038,13.000,0.087,      ,      ,6,2,0.000000,0.000000,1.000000
13.240,0.006,13.170,0.008,13.090,0.036,12.970,0.061,      ,      ,6,2,0.000001,0.000020,0.999980
12.330,0.005,12.290,0.006,12.260,0.025,12.320,0.052,      ,      ,6,2,0.000000,0.000000,1.000000
10.700,0.003,10.650,0.003,10.580,0.006,10.550,0.010,      ,      ,6,2,0.000000,0.000000,1.000000
12.190,0.004,12.210,0.006,12.070,0.028,12.210,0.049,      ,      ,6,2,0.000000,0.000000,1.000000
13.490,0.011,13.550,0.015,13.580,0.079,13.380,0.125,      ,      ,6,2,0.000000,0.000000,1.000000
12.820,0.005,12.830,0.008,12.820,0.042,12.640,0.064,      ,      ,6,2,0.000000,0.000000,1.000000
13.670,0.013,13.640,0.015,13.360,0.056,13.800,0.178,      ,      ,6,2,0.000000,0.000000,1.000000
